id	Address	location_county	location_postalCity	location_postalCode	location_state	location_streetName	location_streetNumber	location_subdivision	mls_MLNumber	remarks_publicRemark
99303	41 Rome Point	Fannin	Blue Ridge	30513	Georgia	Rome Point	41	Rome Point	242128	"GRAND LAKESIDE ESTATE!!!! This luxury home is conveniently located close to downtown Blue Ridge, shopping, dining and medical facilities offering 5 bedrooms, 4.5 baths, large open great room with massive floor-to-ceiling stacked stone wood burning fireplace, large gourmet kitchen with breakfast room with views to the lake, master on main level w/master bathroom complete with granite countertops, 2-car one step entry into foyer/mainlevel and views to the lake, upstairs offers 3 large bedrooms and full bath, finished terrace level offers second kitchen with living area complete w/stacked stone gas log fireplace, wine cellar, storage and easy access to level pathway to the private dock and lakeside screened gazebo."
99321	1353 My Mountain Road	Fannin	Morganton	30560	Georgia	My Mountain Road	1353	My Mountain	247493	"On Top of the Mountain! Southern exposure from the rear porches overlooking one of the most beautiful views you've ever seen. Leather furniture and gas fireplace in living room, large bar in basement gameroom. UNMATCHED LONG RANGE VIEWS....located 15 minutes from Downtown Blue Ridge and 10 minutes from Lake Blue Ridge Marina."
99391	568 Prince Drive	Fannin	Morganton	30560	Georgia	Prince Drive	568		251132	Perfect getaway cabin located in the heart of the lake Blue Ridge activities. This one would make a perfect rental or full time home for the growing family. There is a carport to store your boat and fishing gear. Take a stroll across the street and take in the scenic lake views. This home offers all paved access and beautiful landscaping. This home has a spacious interior with a roomy kitchen. There is a large window in the living room which brings in the light. There is a large stone fireplace and there are beam accents giving you that rustic feel. The main level also offers 2 spacious bedrooms. The terrace level is set up as the master suite but could also be used as a mother in law suite. There is a separate office/bedroom . Enjoy the sunsets and the sounds of the lake in this beautiful cabin
99404	196 River Oaks Terrace	Gilmer	Ellijay	30540	Georgia	River Oaks Terrace	196	Rivers Edge	251935	"Large Southern Living Home with detached 2 car garage with breezeway and frontage on the Cartecay River. This is a special section of the River and popular for outstanding Trout fishing and kayak/tubing enthusiasts. Expansive layout is ideal for larger families and those with a flair for entertaining. The home hosts 5 bedrooms and 4 1/2 baths with master and full bath on main level. Features include gourmet kitchen with commercial grade appliances, loads of cabinet space, granite, and large pantry. A seperate dining room, breakfast area, and parlor with fireplace add to the Southern Charm and inluence. The terrace level includes recreation and living room, 3 bedrooms, fitness room, closet and loads of storage. End of road privacy with gated driveway."
99433	95 Scenic Ridge Road	Fannin	Blue Ridge	30513	Georgia	Scenic Ridge Road	95		253272	"THE REAL DEAL! Exquisite, long range, year round, Mountain Views awaits you with this gorgeous LOG CABIN! Located less than 10 minutes from Downtown Blue Ridge with ALL Paved Access. This mountain majesty sits in the ASKA ADVENTURE AREA and is literally a short walk to Hiking Trails. The master is on the main along with two additional bedrooms. One is currently being used as an office. Has an open floor concept with the kitchen opening up to the wall of glass that showcases the Mountain Ridges. Cabin also has two bedroom suites upstairs and a full, partially finished terrace level. This lodge is large enough for full time living or would be perfect as a rental investment."
99436	8498 Roy Road	Gilmer	Ellijay	30536	Georgia	Roy Road	8498		253303	"LIVE, WORK AND PLAY on this 48+ acre multi-use property offering a 4,800 sf 2-story residential home w/3 BR, 3 FB (steam shower & sauna), master-on-main, large living area, 7 car garage, storage, intercom, surround sound, with gated entrance. A 34,520 sf metal building complete with 6 loading docks w/levelers, private restrooms, office location, roll-up doors for easy forklift access, covered storage in rear of building, very level & large parking area, 3-Phase electric & all underground utilities in place. Acreage offers mountain views, mature timber, certified mountain commercial deep well water, cross-fenced & 2 gated entrances located on paved county maintained road with 2 turns off Hwy 515. Expansion and endless possibilities with this mountain estate!!"
99444	217 Hyatt Bigham	Polk	Turtletown	37391	Tennessee	Hyatt Bigham	217		253641	"ONE OF THE MOST BEAUTIFUL SETTINGS IN THE AREA WITH CREEK, POND & PASTURE!!! This Spacious 6 Bedroom, 4 Bath Home ON 6 ACRES, Features 2 Living Rooms, Large Kitchen with Lots of Cabinets & Counter Space! Master Suite Features a Generous Walk-in Closet, Master Bath w/Jetted Tub, Shower & Private Screened Porch Overlooking the Best Nature has to Offer! Lots of Room for the Family with Bonus Room & Home Office! Terrace Level has Family/Game Room, Bedroom & Bath! Not to mention the 2 Basements, 3 Car Garage, Outdoor Shower, 40x20 Shop, and SO MUCH MORE! Would Make the Perfect Mini Farm! Put this one on your MUST SEE list!"
99448	140 Hyatt Bigham	Polk	Turtletown	37391	Tennessee	Hyatt Bigham	140		253873	"LUXURIOUS 24.72 +/- ACRE MOUNTAIN LOG HOME WITH AWE INSPIRING LONG RANGE MOUNTAIN VIEW WITH OVER 5000 SF! This 5 Bedroom, 4 Bath Log Home was Initially Purchased w/5 Acres then ADDED 20 Acres to Insure Privacy! T&G walls, 2 Master Suites, Office, Sunroom, Game/Media Room w/Gas Log Fireplace, Spacious Kitchen w/Solid Surface Counters, Stainless Steel Appliances, Dining Area and Breakfast Bar. The Living Room Features a Stone Fireplace, Wall of Windows, and Exposed Beams. 2 Car Garage on main, Large Garage on Lower Level. Completely Furnished! This Would Be the Perfect Mountain Vacation Spot, Full Time Home, or Corporate Retreat! Within 5 Miles to Town! PACK YOUR SUITCASE AND COME ON HOME!"
99453	222 Salem Road	Fannin	Mineral Bluff	30559	Georgia	Salem Road	222		254152	"BEAUTIFULLY CRAFTED CUSTOM HOME W/LONG RANGE MOUNTAIN & PASTURE VIEW W/OVER 5000 SQ FT OF LIVING SPACE! This 4 Bed, 3 Full Bath & 2 Half Bath Features 2x6 Walls & Extra Insulation, Sound System, 2 Master Suites on the Main Floor! Main Master Suite has Tile Shower, Jetted Tub, Double Vanity & Extremely Large Walk-in Closet W/Built ins! Professional Kitchen W/Stainless Steel Thermador Appliances, Butlers Pantry w/additional Range! Great Room W/Vaulted Cielings, Exposed Beams, Fireplace, Open Loft Office Area, Dual Fuel HVAC! Lots of Deck space w/Exterior Fireplace & Speakers! Patio Level Has Media/Family Room W/Wet Bar, 2 Bedr., 1 & 1/2 Bath, Separate HVAC, 2 Car Garage, Lots of Storage & SO MUCH MORE!"
99458	344 Ross Road	Fannin	Blue Ridge	30513	Georgia	Ross Road	344		254460	"Pristine 2000 Bellcrest 24 by 56 Mobile home situated convienient to Blue Ridge and McCaysville. This home also offers an outbuilding that has power ran to it and would be perfect for a workshop. Situated on an acre of property, this home gives you a perfect play area for the kids and pets. If you are looking for all one level living within 5 minutes from Fannin Regional Hospital this is the perfect home for you!"
