Title	Authors	YearOfPublication	CitedBy
Artificial intelligence: a modern approach	S Russell, P Norvig	2002	36222
Principles of artificial intelligence	NJ Nilsson	2014	7843
An artificial intelligence approach	RS Mitchell, JG Michalski, TM Carbonell	2013	2687
Argumentation in artificial intelligence	I Rahwan, GR Simari	2009	797
Prolog programming for artificial intelligence	I Bratko	2001	2530
Readings in distributed artificial intelligence	AH Bond, L Gasser	2014	1742
Bayesian artificial intelligence	KB Korb, AE Nicholson	2010	2128
Evolving artificial intelligence.	DB Fogel	1993	489
Artificial intelligence: The very idea	J Haugeland	1989	1831
Logical foundations of artificial intelligence	MR Genesereth, NJ Nilsson	2012	3119
