Title	Authors	YearOfPublication	CitedBy
Understanding big data: Analytics for enterprise class hadoop and streaming data	P Zikopoulos, C Eaton	2011	2251
Big data analytics in healthcare: promise and potential	W Raghupathi, V Raghupathi	2014	2140
Big data analytics	P Russom	2011	1306
Trends in big data analytics	K Kambatla, G Kollias, V Kumar, A Grama	2014	774
Deep learning applications and challenges in big data analytics	MM Najafabadi, F Villanustre, TM Khoshgoftaar…	2015	1032
An introduction to social network data analytics	CC Aggarwal	2011	873
Data quality management, data usage experience and acquisition intention of big data analytics	O Kwon, N Lee, B Shin	2014	497
Big data analytics: a survey	CW Tsai, CF Lai, HC Chao, AV Vasilakos	2015	462
Big data, analytics and the path from insights to value	S LaValle, E Lesser, R Shockley…	2011	1768
Toward scalable systems for big data analytics: A technology tutorial	H Hu, Y Wen, TS Chua, X Li	2014	1006
