Title	Authors	YearOfPublication	CitedBy
Data Mining	DJ Hand, NM Adams	2014	5706
Data mining: concepts and techniques	J Han, J Pei, M Kamber	2011	48676
Data mining with big data	X Wu, X Zhu, GQ Wu, W Ding	2013	2803
Privacy-preserving data mining	R Agrawal, R Srikant	2000	4174
Data preparation for data mining	D Pyle	1999	2152
Introduction to data mining	PN Tan, M Steinbach, V Kumar	2016	13632
Discovering knowledge in data: an introduction to data mining	DT Larose, CD Larose	2014	3451
Untangling text data mining	MA Hearst	1999	1261
Top 10 algorithms in data mining	X Wu, V Kumar, JR Quinlan, J Ghosh, Q Yang…	2008	5112
Advanced data mining techniques	DL Olson, D Delen	2008	1477
