Title	Authors	YearOfPublication	CitedBy
Two-dimensional signal and image processing	JS Lim	1990	3847
Image processing	JC Russ	1990	7963
Digital image processing using MATLAB	RC Gonzalez, RE Woods, SL Eddins	2004	12960
Image processing with ImageJ	MD Abràmoff, PJ Magalhães…	2004	14702
Introductory digital image processing: a remote sensing perspective.	JR Jensen	1996	10337
Digital image processing and computer vision	RJ Schalkoff	1989	1090
An introduction to digital image processing	F Patin	2003	2686
Fundamentals of electronic image processing	AR Weeks	1996	527
Algorithms for image processing and computer vision	JR Parker	2010	2615
Image processing, analysis, and machine vision	M Sonka, V Hlavac, R Boyle	2014	8361
