Title	Authors	YearOfPublication	CitedBy
Machine learning	D Michie, DJ Spiegelhalter…	1994	4030
Introduction to machine learning	E Alpaydin	2020	8119
Scikit-learn: Machine learning in Python	F Pedregosa, G Varoquaux, A Gramfort…	2011	32052
Pattern recognition and machine learning	CM Bishop	2006	46227
Genetic algorithms and machine learning	DE Goldberg, JH Holland	1988	2894
Quantum machine learning	J Biamonte, P Wittek, N Pancotti, P Rebentrost…	2017	920
Machine learning in action	P Harrington	2012	666
Foundations of machine learning	M Mohri, A Rostamizadeh, A Talwalkar	2018	2478
Gaussian processes in machine learning	CE Rasmussen	2003	19195
Machine learning: a probabilistic perspective	KP Murphy	2012	7656
